WorkerId,Profile1,Profile2,Rating
A1MIBEGF81ZLUS,"age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single","age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single",2
A1MIBEGF81ZLUS,"age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single","age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single",3
A1MIBEGF81ZLUS,"age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single","age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single",5
A1MIBEGF81ZLUS,"age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single","age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single",1
A1MIBEGF81ZLUS,"age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single","age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single",2
A1X1IRFYQZ40LD,"age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single","age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single",2
A1X1IRFYQZ40LD,"age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single","age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single",3
A1X1IRFYQZ40LD,"age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single","age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single",3
A1X1IRFYQZ40LD,"age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single","age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single",2
A1X1IRFYQZ40LD,"age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single","age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single",4
A1ZGQC0J00M69W,"age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single","age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single",4
A1ZGQC0J00M69W,"age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single","age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single",5
A1ZGQC0J00M69W,"age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single","age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single",2
A1ZGQC0J00M69W,"age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single","age: 35, body type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single",5
A1ZGQC0J00M69W,"age: 39, body type: thin, education: graduated from masters program, height: 68.0, job: N/A, orientation: straight, pets: has cats, religion: N/A, sex: m, smokes: no, speaks: english, french, c++, status: single","age: 22, body type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single",1